iter	Passed	Remaining
400	9705	14376
401	9729	14352
402	9754	14329
403	9778	14304
404	9802	14279
405	9827	14257
406	9852	14233
407	9878	14212
408	9902	14187
409	9926	14163
410	9950	14139
411	9976	14117
412	10001	14093
413	10025	14069
414	10050	14047
415	10076	14024
416	10101	14002
417	10124	13975
418	10149	13952
419	10173	13927
420	10197	13902
421	10223	13881
422	10246	13855
423	10271	13832
424	10296	13809
425	10321	13786
426	10344	13760
427	10370	13739
428	10404	13727
429	10428	13702
430	10454	13680
431	10477	13654
432	10501	13630
433	10524	13604
434	10549	13581
435	10572	13555
436	10596	13530
437	10620	13506
438	10645	13482
439	10670	13459
440	10694	13434
441	10718	13410
442	10742	13385
443	10766	13360
444	10789	13334
445	10814	13312
446	10841	13290
447	10864	13265
448	10888	13241
449	10913	13217
450	10939	13194
451	10963	13170
452	10996	13157
453	11020	13132
454	11044	13107
455	11070	13085
456	11096	13063
457	11122	13040
458	11145	13014
459	11169	12990
460	11193	12965
461	11217	12941
462	11241	12916
463	11265	12891
464	11290	12869
465	11314	12843
466	11337	12818
467	11363	12795
468	11387	12771
469	11411	12746
470	11434	12721
471	11457	12695
472	11480	12669
473	11503	12644
474	11529	12621
475	11559	12603
476	11584	12579
477	11609	12557
478	11633	12531
479	11656	12506
480	11680	12482
481	11704	12457
482	11731	12435
483	11757	12413
484	11780	12388
485	11805	12363
486	11829	12339
487	11852	12314
488	11875	12288
489	11901	12265
490	11925	12240
491	11948	12215
492	11972	12191
493	11998	12168
494	12024	12146
495	12051	12123
496	12076	12101
497	12102	12078
498	12128	12055
499	12152	12030
500	12175	12005
501	12201	11982
502	12227	11960
503	12252	11936
504	12279	11914
505	12303	11890
506	12331	11869
507	12357	11846
508	12380	11821
509	12404	11796
510	12429	11773
511	12453	11748
512	12477	11723
513	12502	11699
514	12527	11675
515	12552	11652
516	12577	11628
517	12601	11603
518	12625	11579
519	12649	11554
520	12674	11531
521	12714	11521
522	12739	11496
523	12763	11472
524	12786	11446
525	12810	11422
526	12834	11397
527	12858	11373
528	12882	11348
529	12906	11323
530	12929	11298
531	12955	11275
532	12981	11251
533	13004	11226
534	13028	11202
535	13052	11177
536	13088	11163
537	13112	11138
538	13134	11112
539	13159	11087
540	13184	11064
541	13208	11039
542	13242	11023
543	13266	10998
544	13291	10974
545	13316	10950
546	13340	10926
547	13365	10902
548	13389	10877
549	13414	10853
550	13440	10830
551	13474	10813
552	13498	10789
553	13533	10773
554	13557	10748
555	13593	10732
556	13616	10707
557	13649	10689
558	13671	10663
559	13697	10639
560	13721	10615
561	13746	10591
562	13770	10566
563	13792	10540
564	13815	10514
565	13839	10489
566	13864	10465
567	13887	10440
568	13912	10416
569	13939	10393
570	13962	10367
571	13985	10342
572	14011	10319
573	14036	10294
574	14058	10268
575	14083	10244
576	14106	10219
577	14131	10195
578	14154	10169
579	14179	10145
580	14202	10120
581	14226	10095
582	14251	10071
583	14275	10046
584	14299	10021
585	14326	9999
586	14353	9976
587	14377	9951
588	14401	9926
589	14426	9902
590	14450	9878
591	14475	9853
592	14499	9829
593	14523	9804
594	14551	9782
595	14576	9758
596	14600	9733
597	14626	9710
598	14652	9686
599	14677	9662
600	14702	9638
601	14726	9614
602	14750	9589
603	14774	9564
604	14797	9539
605	14827	9518
606	14853	9494
607	14880	9471
608	14905	9447
609	14930	9423
610	14954	9398
611	14978	9374
612	15002	9349
613	15036	9330
614	15067	9309
615	15092	9285
616	15117	9261
617	15141	9236
618	15165	9211
619	15189	9187
620	15213	9162
621	15239	9138
622	15264	9114
623	15289	9090
624	15314	9066
625	15340	9042
626	15364	9018
627	15390	8994
628	15416	8970
629	15442	8946
630	15467	8922
631	15495	8900
632	15521	8876
633	15547	8852
634	15573	8829
635	15598	8804
636	15624	8781
637	15648	8756
638	15674	8732
639	15702	8709
640	15728	8686
641	15754	8662
642	15777	8637
643	15802	8612
644	15827	8588
645	15850	8563
646	15873	8537
647	15897	8513
648	15923	8489
649	15949	8465
650	15975	8441
651	16002	8418
652	16027	8394
653	16053	8370
654	16078	8345
655	16103	8321
656	16128	8297
657	16156	8274
658	16184	8251
659	16210	8227
660	16235	8203
661	16259	8178
662	16285	8154
663	16311	8130
664	16338	8107
665	16364	8083
666	16389	8059
667	16415	8035
668	16439	8010
669	16474	7991
670	16499	7966
671	16526	7943
672	16552	7919
673	16588	7900
674	16620	7879
675	16647	7855
676	16675	7832
677	16713	7814
678	16737	7789
679	16762	7765
680	16786	7740
681	16823	7721
682	16849	7697
683	16875	7672
684	16898	7647
685	16922	7622
686	16944	7596
687	16968	7571
688	16993	7547
689	17017	7522
690	17045	7499
691	17069	7474
692	17093	7449
693	17117	7424
694	17141	7399
695	17164	7373
696	17190	7349
697	17213	7324
698	17238	7299
699	17259	7273
700	17282	7248
701	17306	7223
702	17331	7198
703	17353	7173
704	17375	7147
705	17400	7123
706	17425	7098
707	17452	7074
708	17477	7050
709	17503	7026
710	17529	7001
711	17557	6978
712	17580	6953
713	17607	6929
714	17631	6904
715	17655	6879
716	17680	6855
717	17705	6830
718	17730	6806
719	17754	6781
720	17776	6755
721	17798	6730
722	17823	6705
723	17847	6680
724	17870	6655
725	17892	6629
726	17916	6604
727	17938	6579
728	17963	6554
729	17986	6529
730	18012	6505
731	18050	6485
732	18076	6461
733	18102	6436
734	18128	6412
735	18160	6390
736	18184	6365
737	18208	6341
738	18231	6315
739	18256	6291
740	18280	6266
741	18305	6241
742	18329	6216
743	18354	6192
744	18377	6166
745	18399	6141
746	18423	6116
747	18447	6091
748	18472	6067
749	18498	6042
750	18522	6017
751	18547	5993
752	18573	5969
753	18595	5943
754	18619	5918
755	18641	5893
756	18666	5868
757	18690	5843
758	18715	5819
759	18750	5797
760	18772	5772
761	18797	5747
762	18821	5722
763	18847	5698
764	18871	5673
765	18896	5649
766	18920	5624
767	18950	5601
768	18975	5576
769	19000	5551
770	19025	5527
771	19051	5503
772	19076	5478
773	19102	5454
774	19127	5429
775	19153	5405
776	19180	5381
777	19206	5357
778	19232	5332
779	19259	5308
780	19285	5284
781	19310	5259
782	19335	5235
783	19359	5210
784	19385	5185
785	19411	5161
786	19436	5136
787	19467	5113
788	19489	5088
789	19515	5064
790	19540	5039
791	19565	5014
792	19590	4990
793	19615	4965
794	19639	4940
795	19666	4916
796	19690	4891
797	19714	4866
798	19736	4841
799	19761	4816
800	19785	4792
801	19811	4767
802	19835	4742
803	19859	4717
804	19883	4692
805	19907	4668
806	19931	4643
807	19957	4618
808	19980	4593
809	20005	4569
810	20028	4544
811	20051	4519
812	20076	4494
813	20109	4471
814	20134	4446
815	20159	4422
816	20186	4397
817	20211	4373
818	20237	4348
819	20262	4324
820	20287	4299
821	20310	4274
822	20333	4249
823	20360	4225
824	20384	4200
825	20408	4175
826	20433	4150
827	20458	4126
828	20481	4101
829	20506	4076
830	20530	4051
831	20555	4027
832	20578	4002
833	20602	3977
834	20625	3952
835	20650	3927
836	20676	3903
837	20700	3878
838	20724	3853
839	20746	3828
840	20771	3803
841	20794	3778
842	20818	3753
843	20842	3728
844	20876	3705
845	20901	3681
846	20926	3656
847	20949	3631
848	20975	3607
849	21000	3582
850	21023	3557
851	21046	3532
852	21070	3507
853	21093	3482
854	21116	3457
855	21142	3433
856	21167	3408
857	21193	3383
858	21216	3359
859	21240	3334
860	21266	3309
861	21291	3285
862	21315	3260
863	21339	3235
864	21363	3210
865	21389	3186
866	21412	3161
867	21436	3136
868	21460	3111
869	21484	3086
870	21508	3062
871	21533	3037
872	21558	3012
873	21581	2987
874	21606	2963
875	21629	2938
876	21653	2913
877	21676	2888
878	21700	2863
879	21723	2838
880	21747	2814
881	21772	2789
882	21797	2764
883	21821	2739
884	21845	2715
885	21869	2690
886	21891	2665
887	21917	2640
888	21939	2615
889	21964	2591
890	21989	2566
891	22013	2541
892	22039	2517
893	22063	2492
894	22086	2467
895	22110	2442
896	22134	2418
897	22159	2393
898	22182	2368
899	22207	2344
900	22231	2319
901	22255	2294
902	22280	2269
903	22304	2245
904	22328	2220
905	22351	2195
906	22375	2170
907	22398	2146
908	22421	2121
909	22445	2096
910	22470	2071
911	22494	2047
912	22518	2022
913	22542	1997
914	22566	1973
915	22591	1948
916	22616	1923
917	22639	1898
918	22665	1874
919	22691	1849
920	22715	1825
921	22739	1800
922	22764	1775
923	22793	1751
924	22818	1726
925	22843	1702
926	22868	1677
927	22892	1652
928	22918	1628
929	22943	1603
930	22967	1578
931	22992	1554
932	23016	1529
933	23041	1504
934	23067	1480
935	23091	1455
936	23114	1430
937	23144	1406
938	23169	1381
939	23193	1357
940	23216	1332
941	23239	1307
942	23264	1282
943	23288	1258
944	23313	1233
945	23337	1208
946	23359	1184
947	23384	1159
948	23408	1134
949	23432	1109
950	23456	1085
951	23481	1060
952	23508	1036
953	23534	1011
954	23559	986
955	23584	962
956	23608	937
957	23632	912
958	23659	888
959	23684	863
960	23709	838
961	23736	814
962	23761	789
963	23785	764
964	23811	740
965	23834	715
966	23863	690
967	23885	666
968	23920	641
969	23945	617
970	23969	592
971	23993	567
972	24017	543
973	24041	518
974	24067	493
975	24090	468
976	24115	444
977	24139	419
978	24163	394
979	24188	370
980	24214	345
981	24239	320
982	24264	296
983	24288	271
984	24312	246
985	24336	222
986	24358	197
987	24382	172
988	24406	148
989	24431	123
990	24455	98
991	24480	74
992	24506	49
993	24531	24
994	24559	0
