iter	Logloss
0	0.6599584275
1	0.6302224124
2	0.6017468755
3	0.5728114537
4	0.5499343806
5	0.528272601
6	0.5076980849
7	0.4915844913
8	0.4782668034
9	0.4644817852
10	0.4562394363
11	0.4425575939
12	0.4315886918
13	0.4219718474
14	0.4142831828
15	0.4056857483
16	0.3983814954
17	0.390441811
18	0.3863506483
19	0.3792824504
20	0.3742830094
21	0.3688918605
22	0.3640596266
23	0.3598416477
24	0.3560606463
25	0.3522550224
26	0.3497334286
27	0.3473172193
28	0.3436931918
29	0.3415485244
30	0.3390536155
31	0.3368740989
32	0.3356895353
33	0.3336163005
34	0.3322760191
35	0.3305900363
36	0.3280359127
37	0.3259748193
38	0.3242022457
39	0.3229510484
40	0.3213624661
41	0.3199577841
42	0.3194555979
43	0.3183517404
44	0.3179467301
45	0.3166518415
46	0.3160422565
47	0.3148539906
48	0.3137573231
49	0.312580473
50	0.3117670117
51	0.3109819292
52	0.3103298382
53	0.3101221352
54	0.3091956185
55	0.3085816145
56	0.3074453497
57	0.3063942229
58	0.3057070251
59	0.3050768848
60	0.3041322708
61	0.3039656976
62	0.303254029
63	0.3022724598
64	0.3016290408
65	0.3009164757
66	0.3004832795
67	0.2997454363
68	0.2992118141
69	0.2985024264
70	0.297850098
71	0.2974328959
72	0.2966613762
73	0.2961132654
74	0.2957590712
75	0.2953005307
76	0.2947698967
77	0.2943707724
78	0.2938259063
79	0.2933376903
80	0.2929325154
81	0.2924939965
82	0.2923151489
83	0.2918451291
84	0.291319967
85	0.2909752119
86	0.2906069184
87	0.2900807517
88	0.2896712863
89	0.2891729921
90	0.2887907618
91	0.2885179689
92	0.2878687784
93	0.2876084868
94	0.2869926288
95	0.2864762814
96	0.2860966371
97	0.2855390855
98	0.2855076268
99	0.2853826897
100	0.285132445
101	0.284693655
102	0.284693539
103	0.2846535182
104	0.2843970506
105	0.2842402253
106	0.2840810772
107	0.2838665356
108	0.2835966088
109	0.2832838482
110	0.2829163122
111	0.2824982854
112	0.2821727185
113	0.2819710973
114	0.2817547055
115	0.2816157758
116	0.2812805356
117	0.2808527197
118	0.2807206977
119	0.2805193464
120	0.2801256817
121	0.2796373145
122	0.2795966537
123	0.2795510052
124	0.2793166335
125	0.2790584472
126	0.2788226407
127	0.2785831144
128	0.2785814233
129	0.2781982594
130	0.2779760654
131	0.2777741334
132	0.2776923283
133	0.2776767784
134	0.2775444474
135	0.2771828273
136	0.2769473176
137	0.276683556
138	0.2766624454
139	0.2762900607
140	0.2762769864
141	0.2760214484
142	0.2759144309
143	0.2756368799
144	0.2753863059
145	0.2751188858
146	0.2748028571
147	0.2748028144
148	0.2746337534
149	0.2744327646
150	0.2744261945
151	0.2741243965
152	0.2737752124
153	0.2735820931
154	0.2734519995
155	0.2732008288
156	0.2731473814
157	0.2730242642
158	0.2730065018
159	0.2728965648
160	0.2724502884
161	0.2721474746
162	0.2718634849
163	0.2716883311
164	0.2715979268
165	0.2715979042
166	0.2715901322
167	0.271466755
168	0.2714656502
169	0.2713307378
170	0.2708381376
171	0.270467086
172	0.2703581967
173	0.2702179293
174	0.2699770103
175	0.2696613436
176	0.2695123145
177	0.2693656834
178	0.2692688575
179	0.2692688497
180	0.2692292823
181	0.2692292244
182	0.2690049274
183	0.2690035955
184	0.2686096077
185	0.2683375033
186	0.2680908195
187	0.2679367047
188	0.2676809324
189	0.2675904177
190	0.2673473854
191	0.2672247704
192	0.2669017168
193	0.2667055103
194	0.2664481159
195	0.2662843858
196	0.266095386
197	0.2660932943
198	0.265996691
199	0.2655536669
200	0.2653309449
201	0.2649830138
202	0.2649749438
203	0.2647192433
204	0.2645899421
205	0.2645347358
206	0.2644155536
207	0.2644107463
208	0.2642306951
209	0.2640204435
210	0.2638632359
211	0.2636806183
212	0.2635325058
213	0.2632548364
214	0.2630046326
215	0.2629568077
216	0.2627236398
217	0.2625548936
218	0.2622548126
219	0.2620454825
220	0.2617978514
221	0.2614554255
222	0.2614414417
223	0.2612546545
224	0.2612179602
225	0.2612170265
226	0.2612169499
227	0.261201008
228	0.2610184638
229	0.2607189007
230	0.2606289448
231	0.2605197218
232	0.2603860389
233	0.2601639039
234	0.2600208387
235	0.2598822025
236	0.2595395983
237	0.2593131568
238	0.2593118083
239	0.2592042638
240	0.2589793225
241	0.2586357347
242	0.2586080311
243	0.2585861439
244	0.2582340038
245	0.2579701155
246	0.2577950542
247	0.2576474875
248	0.257224256
249	0.2571454579
250	0.2571158795
251	0.2569401073
252	0.256820316
253	0.256448717
254	0.2563100988
255	0.2561680211
256	0.2558921194
257	0.2558805227
258	0.2558104232
259	0.2558089538
260	0.2556395867
261	0.2554668768
262	0.2552616515
263	0.2549947935
264	0.2548972605
265	0.2548881356
266	0.2547413362
267	0.2544519015
268	0.2542460411
269	0.2541073187
270	0.2537417382
271	0.2536370537
272	0.2533471311
273	0.2532453755
274	0.2527992021
275	0.2526284009
276	0.2525005368
277	0.2524191662
278	0.2519852417
279	0.2519852047
280	0.2517491904
281	0.2514629971
282	0.2513449514
283	0.2512139147
284	0.2510157297
285	0.2510006243
286	0.2508286874
287	0.2507037437
288	0.2504707003
289	0.2501593178
290	0.249795244
291	0.2496069531
292	0.249453795
293	0.2491691456
294	0.2488523779
295	0.2485790254
296	0.2483851863
297	0.2482066605
298	0.2479576283
299	0.2477325511
300	0.2473891556
301	0.247158755
302	0.2470236238
303	0.2464483501
304	0.2462667756
305	0.2461819408
306	0.2461314927
307	0.2459245516
308	0.2457274799
309	0.2455139352
310	0.2453729972
311	0.2451436919
312	0.2450474137
313	0.2448611326
314	0.2446579456
315	0.244503419
316	0.2439331626
317	0.243678413
318	0.2434302728
319	0.2430546507
320	0.2428508168
321	0.24272482
322	0.2424950767
323	0.2422631434
324	0.2420266401
325	0.2414544939
326	0.2408855923
327	0.2404317125
328	0.2401638756
329	0.239703706
330	0.2393783511
331	0.239179224
332	0.2388034035
333	0.2384661085
334	0.2380049001
335	0.2375902292
336	0.2369809759
337	0.2365453826
338	0.2362177485
339	0.2360513319
340	0.2357883913
341	0.2353205616
342	0.2350496503
343	0.2347105287
344	0.234441241
345	0.2340528824
346	0.2335942929
347	0.2333564193
348	0.2331031004
349	0.2327134146
350	0.2324234382
351	0.2320799203
352	0.2317249597
353	0.2314118948
354	0.2312921093
355	0.2308187775
356	0.2305271197
357	0.2302845656
358	0.2299160651
359	0.2296780237
360	0.2294046386
361	0.2291731055
362	0.2290096118
363	0.2287427951
364	0.2284079982
365	0.2281317877
366	0.2277554249
367	0.2275139323
368	0.2270895158
369	0.2269837048
370	0.2267598244
371	0.2265340728
372	0.2263788257
373	0.2261450625
374	0.2259212549
375	0.2256922462
376	0.2250825568
377	0.2249290743
378	0.2246245387
379	0.2241073421
380	0.223843032
381	0.2236607064
382	0.2235625343
383	0.2231559623
384	0.222908491
385	0.2224641032
386	0.2221847655
387	0.2220238926
388	0.2219369073
389	0.2217781036
390	0.221431687
391	0.2211631145
392	0.2207574412
393	0.22041051
394	0.2201311783
395	0.2198888319
396	0.219727175
397	0.2194154001
398	0.219255088
399	0.218998447
400	0.2187937179
401	0.2185646595
402	0.2182511048
403	0.2180353328
404	0.2178384662
405	0.2175130489
406	0.21717213
407	0.2169538062
408	0.2166302112
409	0.2164049666
410	0.2162919552
411	0.2160494267
412	0.2157218503
413	0.2153836104
414	0.215199351
415	0.2148063194
416	0.2146725917
417	0.2144634936
418	0.2141948623
419	0.2140367571
420	0.213759452
421	0.2136413876
422	0.2134308089
423	0.2131297798
424	0.2130560915
425	0.2128507271
426	0.2126013621
427	0.2123828337
428	0.2122224601
429	0.2119997478
430	0.2118877743
431	0.2117641036
432	0.2115792107
433	0.2113477249
434	0.2111773478
435	0.2109628351
436	0.2105961417
437	0.2102486017
438	0.2100054912
439	0.2096752418
440	0.2094983537
441	0.2091447563
442	0.208934478
443	0.2086806268
444	0.2085393393
445	0.2084275206
446	0.2081084082
447	0.2079308861
448	0.2076900289
449	0.2074719155
450	0.2071803636
451	0.2067753709
452	0.2065985106
453	0.2063444628
454	0.2061766832
455	0.2059296639
456	0.2057291691
457	0.2055583121
458	0.2054288638
459	0.2051909157
460	0.2050814209
461	0.2048343322
462	0.2047207606
463	0.20455774
464	0.2044156649
465	0.2042034017
466	0.2040878579
467	0.2037498424
468	0.2034116426
469	0.2032388241
470	0.2029838575
471	0.2026797143
472	0.2025397456
473	0.2022965243
474	0.2020187135
475	0.2016273907
476	0.2014065434
477	0.2011807011
478	0.2010796534
479	0.2008168731
480	0.2005749506
481	0.200244644
482	0.200036563
483	0.19968849
484	0.1996005304
485	0.1993462207
486	0.1992713938
487	0.1989166905
488	0.1987950331
489	0.1985352695
490	0.1983970921
491	0.1981809295
492	0.1980275609
493	0.1978997343
494	0.1977686859
495	0.197561344
496	0.1973829301
497	0.1971485814
498	0.1970000617
499	0.1968710614
500	0.1967430364
501	0.1966079066
502	0.1963425359
503	0.19625228
504	0.1961515589
505	0.1959306488
506	0.1958677817
507	0.1956492725
508	0.1954811694
509	0.1952867668
510	0.1952107626
511	0.1951340328
512	0.1949784037
513	0.1948545229
514	0.1946004421
515	0.1943935036
516	0.1941568449
517	0.1937500402
518	0.1933673549
519	0.1931622148
520	0.1929702095
521	0.1927937844
522	0.1926610307
523	0.1923961899
524	0.1922292163
525	0.1919377282
526	0.1918350208
527	0.1914823736
528	0.1914066161
529	0.1911895604
530	0.1909816185
531	0.1908696209
532	0.1905963107
533	0.1903821204
534	0.1901401507
535	0.1900605013
536	0.1897141043
537	0.1894842693
538	0.1893677996
539	0.1891787792
540	0.1890174241
541	0.1888163858
542	0.1885601437
543	0.1883309754
544	0.1882333319
545	0.1881106895
546	0.188002435
547	0.1879425988
548	0.1878362566
549	0.1875944389
550	0.1873732905
551	0.1872552558
552	0.1869846105
553	0.1868463215
554	0.1866584925
555	0.1865796511
556	0.1864152717
557	0.1862749029
558	0.1861892991
559	0.1860445652
560	0.1857716494
561	0.1855994536
562	0.1854133773
563	0.1852189154
564	0.1850175316
565	0.1848739177
566	0.1847708703
567	0.1846478555
568	0.1845432082
569	0.1843179209
570	0.184179164
571	0.1839781991
572	0.1838145926
573	0.1837302766
574	0.1835541925
575	0.1832788351
576	0.1831080529
577	0.1828063178
578	0.1827206272
579	0.1824651406
580	0.1822834708
581	0.1821578949
582	0.1820267509
583	0.1818325535
584	0.1817154855
585	0.1815528708
586	0.1812473649
587	0.1810363745
588	0.1808189345
589	0.180753046
590	0.1805008165
591	0.1803655276
592	0.1801087281
593	0.1799541656
594	0.1798106638
595	0.1796764881
596	0.1794093956
597	0.1793072318
598	0.1790981189
599	0.1790344205
600	0.1788695066
601	0.1785672082
602	0.1784231615
603	0.1783023955
604	0.1781007824
605	0.1780180602
606	0.1779492313
607	0.177855961
608	0.1776468893
609	0.1774754073
610	0.1772428707
611	0.177098485
612	0.1769189548
613	0.1768215367
614	0.1766228372
615	0.1765174131
616	0.1764272979
617	0.1763264482
618	0.1761577984
619	0.1760791692
620	0.175807914
621	0.1754852769
622	0.1752642569
623	0.1750699799
624	0.1748497585
625	0.174625188
626	0.1745319324
627	0.1743189571
628	0.1739449476
629	0.173849211
630	0.1737457822
631	0.1735421665
632	0.1734548391
633	0.1732576077
634	0.1731129225
635	0.1729896677
636	0.1727918893
637	0.1725858456
638	0.1724243481
639	0.172277262
640	0.172196437
641	0.171948279
642	0.1718560008
643	0.1717120198
644	0.1714767483
645	0.171378209
646	0.1712809753
647	0.171090679
648	0.1708752239
649	0.1707347912
650	0.1706263503
651	0.1704558555
652	0.1702584713
653	0.1701576004
654	0.169891382
655	0.1698438537
656	0.1696776621
657	0.1694671519
658	0.1693940078
659	0.1692146394
660	0.1691128935
661	0.1689655113
662	0.1688412168
663	0.1686926855
664	0.1685635924
665	0.1684955671
666	0.1683500887
667	0.1683075774
668	0.1681143755
669	0.1679464435
670	0.1678245831
671	0.1677262548
672	0.1675804537
673	0.1675152981
674	0.167395536
675	0.167123611
676	0.1670088317
677	0.1667429802
678	0.1665665065
679	0.1664205512
680	0.1662956254
681	0.1661651055
682	0.1660142342
683	0.1659003986
684	0.1657904857
685	0.1656139571
686	0.1655127547
687	0.1653010435
688	0.1650340729
689	0.1649954851
690	0.1648342361
691	0.1647293574
692	0.1646477787
693	0.1644483691
694	0.1643247357
695	0.1640392957
696	0.163845807
697	0.1637153965
698	0.1635091756
699	0.1634380981
700	0.1633042477
701	0.1631711618
702	0.1630543056
703	0.1628841607
704	0.1627599174
705	0.1625945655
706	0.1624480599
707	0.1622933269
708	0.1621244496
709	0.1620158514
710	0.1617879628
711	0.1616251874
712	0.1613607778
713	0.1612971666
714	0.1611326136
715	0.1610586536
716	0.1608517015
717	0.1607178104
718	0.1605324664
719	0.1602667671
720	0.1600350043
721	0.1598395886
722	0.1597941534
723	0.1596299067
724	0.1595471243
725	0.1594586912
726	0.1593852285
727	0.1592032856
728	0.1591394863
729	0.1590374906
730	0.1588831131
731	0.158725775
732	0.1586510473
733	0.1584666549
734	0.1583516457
735	0.1581210936
736	0.1580650102
737	0.1578650288
738	0.1577464781
739	0.1576325927
740	0.1573957097
741	0.1573231074
742	0.1570797271
743	0.1569741912
744	0.1568487657
745	0.1567334007
746	0.1566309052
747	0.1564721461
748	0.1563663347
749	0.1562134044
750	0.1560281928
751	0.1558810778
752	0.1558247195
753	0.1556733285
754	0.1555243955
755	0.155415477
756	0.1552917925
757	0.1552489757
758	0.1551421956
759	0.1550768133
760	0.1548987658
761	0.1547786945
762	0.1546423691
763	0.1545205588
764	0.1543943059
765	0.1542778565
766	0.1541481111
767	0.1541164121
768	0.1538924659
769	0.1536939803
770	0.1536281101
771	0.1535661841
772	0.153505168
773	0.1533273957
774	0.1532319104
775	0.1531261515
776	0.152925286
777	0.1527989565
778	0.1525606787
779	0.1524715618
780	0.1522871898
781	0.1521416064
782	0.1520113203
783	0.1518149186
784	0.1517563497
785	0.1515829602
786	0.1514514814
787	0.1513024726
788	0.1511861394
789	0.1510912032
790	0.1509995175
791	0.15094801
792	0.1508764168
793	0.1506679284
794	0.1505687669
795	0.1504852418
796	0.1503859244
797	0.1503448384
798	0.1502424477
799	0.1501618968
800	0.1500389518
801	0.1499869184
802	0.1498202477
803	0.1496723919
804	0.1495212177
805	0.1493445188
806	0.1492702971
807	0.149130959
808	0.1490305096
809	0.1488902388
810	0.1488336312
811	0.1486844907
812	0.1486012563
813	0.1484901187
814	0.1482819496
815	0.1481930377
816	0.147937596
817	0.1477906684
818	0.1477124155
819	0.1476241252
820	0.1475714362
821	0.1474376733
822	0.1472706852
823	0.1471161596
824	0.1470333881
825	0.146945847
826	0.1467867678
827	0.1466661494
828	0.1464612673
829	0.1463155124
830	0.1461439094
831	0.146038132
832	0.1458992578
833	0.1456884542
834	0.1455862678
835	0.1454709144
836	0.1452969095
837	0.1452076059
838	0.1451693394
839	0.1450863464
840	0.1448591753
841	0.1448160578
842	0.144701742
843	0.1446089338
844	0.1445301808
845	0.1444442541
846	0.1442271738
847	0.1440859253
848	0.1439511782
849	0.1438581608
850	0.1437115611
851	0.1434883261
852	0.1434244841
853	0.1433720654
854	0.1432590775
855	0.1431102512
